ID_ESCOLA;INSE_2023;N_ALUNOS_INSE;INSE_CLASSIFICACAO
23064854;4.71;137;Nível IV
23064870;4.82;84;Nível IV
23064927;4.6;268;Nível IV
23064994;4.56;94;Nível IV
23065028;4.52;99;Nível IV
23065125;4.38;204;Nível III
23065192;4.76;274;Nível IV
23065206;4.49;139;Nível III
23065265;4.48;115;Nível III
23065311;4.6;102;Nível IV
23065346;4.7;78;Nível IV
23065397;4.49;68;Nível III
23065621;4.64;232;Nível IV
23065680;4.32;135;Nível III
23065834;4.63;240;Nível IV
23065958;4.47;216;Nível III
23066628;4.65;64;Nível IV
23067330;4.65;68;Nível IV
23067390;4.69;189;Nível IV
23067462;4.66;139;Nível IV
23067543;4.5;280;Nível IV
23067691;4.48;194;Nível III
23067756;4.31;103;Nível III
23067764;4.63;117;Nível IV
23067829;4.74;244;Nível IV
23067934;4.48;147;Nível III
23067977;4.43;200;Nível III
23068167;4.65;234;Nível IV
23068175;4.71;131;Nível IV
23068302;4.47;99;Nível III
23068469;4.76;44;Nível IV
23068892;4.63;202;Nível IV
23069015;4.75;79;Nível IV
23069198;4.36;67;Nível III
23069317;4.66;95;Nível IV
23069350;4.69;181;Nível IV
23069368;4.68;121;Nível IV
23069538;4.51;70;Nível IV
23069937;4.6;63;Nível IV
23069945;4.71;188;Nível IV
23069953;4.57;117;Nível IV
23070013;4.6;175;Nível IV
23070021;4.34;266;Nível III
23070030;4.59;137;Nível IV
23070048;4.4;139;Nível III
23070056;4.73;69;Nível IV
23070137;4.65;296;Nível IV
23070188;4.73;198;Nível IV
23070250;4.73;115;Nível IV
23070471;4.48;103;Nível III
23070846;4.49;80;Nível III
23070870;4.95;130;Nível IV
23070960;4.7;312;Nível IV
23071028;4.45;197;Nível III
23071168;4.41;159;Nível III
23071427;4.7;295;Nível IV
23071435;4.73;183;Nível IV
23071796;4.46;68;Nível III
23071818;4.63;69;Nível IV
23071850;4.5;357;Nível III
23071990;4.6;99;Nível IV
23072016;4.67;75;Nível IV
23072156;4.76;134;Nível IV
23072180;4.65;151;Nível IV
23072202;4.54;218;Nível IV
23072229;4.58;148;Nível IV
23072245;4.41;231;Nível III
23072270;4.59;233;Nível IV
23072350;4.84;54;Nível IV
23072504;4.56;175;Nível IV
23072512;4.66;287;Nível IV
23072520;4.51;278;Nível IV
23072555;4.57;62;Nível IV
23072563;4.55;123;Nível IV
23072911;4.56;164;Nível IV
23073080;4.64;171;Nível IV
23073144;4.46;285;Nível III
23073535;4.6;138;Nível IV
23073543;4.44;181;Nível III
23073608;4.47;162;Nível III
23073667;4.6;222;Nível IV
23073748;4.85;185;Nível IV
23073764;4.63;132;Nível IV
23073772;4.55;169;Nível IV
23073870;4.49;205;Nível III
23073934;4.68;263;Nível IV
23074078;4.69;275;Nível IV
23074086;4.63;241;Nível IV
23074124;4.68;212;Nível IV
23074140;4.62;134;Nível IV
23074779;4.51;127;Nível IV
23074876;4.44;121;Nível III
23075015;4.62;122;Nível IV
23075058;4.41;41;Nível III
23075074;4.65;190;Nível IV
23075120;4.43;167;Nível III
23075155;4.41;173;Nível III
23075856;4.46;69;Nível III
23076682;4.51;165;Nível IV
23076720;4.5;187;Nível III
23076798;4.78;170;Nível IV
23077131;4.66;116;Nível IV
23077450;4.48;182;Nível III
23077468;4.56;196;Nível IV
23077611;4.75;156;Nível IV
23077794;4.58;229;Nível IV
23078006;4.56;180;Nível IV
23078030;4.92;168;Nível IV
23078162;4.64;61;Nível IV
23078413;4.49;131;Nível III
23078553;4.43;187;Nível III
23078596;4.37;119;Nível III
23078600;4.54;102;Nível IV
23078626;4.62;141;Nível IV
23078677;4.58;133;Nível IV
23078693;4.62;140;Nível IV
23078723;4.68;206;Nível IV
23078740;4.75;75;Nível IV
23078766;4.59;163;Nível IV
23080124;4.62;159;Nível IV
23184221;4.53;304;Nível IV
23184558;4.48;177;Nível III
23184680;4.72;133;Nível IV
23184779;4.52;275;Nível IV
23184914;4.43;267;Nível III
23186160;4.44;241;Nível III
23186690;4.71;69;Nível IV
23186771;4.75;167;Nível IV
23186909;4.54;70;Nível IV
23186950;4.76;68;Nível IV
23187778;4.72;220;Nível IV
23187840;4.64;68;Nível IV
23188375;4.49;69;Nível III
23190787;4.48;175;Nível III
23198486;4.6;95;Nível IV
23198818;4.5;251;Nível IV
23206152;4.46;54;Nível III
23212543;4.5;137;Nível IV
23213140;4.63;146;Nível IV
23213736;4.51;139;Nível IV
23214899;4.29;85;Nível III
23215267;4.68;210;Nível IV
23222964;4.75;81;Nível IV
23227419;4.64;92;Nível IV
23233702;4.85;51;Nível IV
23233800;4.59;201;Nível IV
23233834;4.72;102;Nível IV
23233842;4.6;210;Nível IV
23233877;4.35;68;Nível III
23234067;4.82;178;Nível IV
23234172;4.56;29;Nível IV
23234300;4.51;137;Nível IV
23234318;4.66;332;Nível IV
23234407;4.66;128;Nível IV
23234423;4.59;104;Nível IV
23234440;4.89;63;Nível IV
23235080;4.62;140;Nível IV
23235128;4.55;141;Nível IV
23235365;4.72;155;Nível IV
23235373;4.64;180;Nível IV
23242469;4.38;207;Nível III
23242710;4.81;70;Nível IV
23244283;4.65;125;Nível IV
23244291;4.57;88;Nível IV
23244305;4.65;291;Nível IV
23244976;4.58;69;Nível IV
23245182;4.66;191;Nível IV
23245212;4.55;130;Nível IV
23245379;4.67;41;Nível IV
23250275;4.46;60;Nível III
23250550;4.54;139;Nível IV
23250623;4.77;136;Nível IV
23250631;4.53;202;Nível IV
23250666;4.64;204;Nível IV
23255641;4.48;142;Nível III
23255668;4.5;160;Nível IV
23255749;4.59;102;Nível IV
23255889;4.61;261;Nível IV
23255951;4.27;128;Nível III
23256001;4.73;69;Nível IV
23256036;4.6;162;Nível IV
23256044;4.45;32;Nível III
23256060;4.4;118;Nível III
23256460;4.59;140;Nível IV
23256478;4.94;59;Nível IV
23256486;4.9;119;Nível IV
23256559;4.7;50;Nível IV
23256591;4.27;44;Nível III
23256605;4.76;64;Nível IV
23256699;4.29;66;Nível III
23256737;4.59;85;Nível IV
23256761;4.45;259;Nível III
23256796;4.49;100;Nível III
23256850;4.62;86;Nível IV
23256907;4.63;136;Nível IV
23256915;4.57;168;Nível IV
23256923;4.45;155;Nível III
23257059;4.53;176;Nível IV
23257172;4.56;99;Nível IV
23257202;4.84;136;Nível IV
23257237;4.61;135;Nível IV
23257300;4.65;224;Nível IV
23257342;4.53;270;Nível IV
23257369;4.38;194;Nível III
23257393;4.7;55;Nível IV
23257440;4.5;92;Nível III
23257482;4.89;93;Nível IV
23257644;4.53;103;Nível IV
23257652;4.63;64;Nível IV
23257679;4.67;195;Nível IV
23257750;4.63;92;Nível IV
23257873;4.41;196;Nível III
23259418;4.53;231;Nível IV
23259540;4.75;109;Nível IV
23259558;4.86;113;Nível IV
23259566;4.95;17;Nível IV
23262605;4.6;61;Nível IV
23262613;4.83;117;Nível IV
23263040;4.57;131;Nível IV
23263075;4.75;135;Nível IV
23263113;4.57;140;Nível IV
23263121;4.52;132;Nível IV
23263130;4.57;280;Nível IV
23263148;4.59;126;Nível IV
23263296;4.52;35;Nível IV
23263318;4.6;209;Nível IV
23264152;4.65;166;Nível IV
23264160;4.89;130;Nível IV
23264179;4.65;136;Nível IV
23264187;4.41;143;Nível III
23264209;4.8;148;Nível IV
23264780;4.72;74;Nível IV
23264799;4.62;115;Nível IV
23264810;4.83;61;Nível IV
23269170;4.66;67;Nível IV
23270560;4.59;105;Nível IV
23270675;4.35;217;Nível III
23271493;4.73;101;Nível IV
23271507;4.58;321;Nível IV
23271531;4.43;94;Nível III
23272007;4.92;143;Nível IV
23272694;4.36;144;Nível III
23272708;4.64;92;Nível IV
23272716;4.67;140;Nível IV
23272724;4.64;272;Nível IV
23272740;4.56;205;Nível IV
23272759;4.69;102;Nível IV
23273747;4.9;107;Nível IV
23273755;4.68;157;Nível IV
23273763;4.42;200;Nível III
23274034;4.71;237;Nível IV
23274930;4.99;161;Nível IV
23275006;4.87;112;Nível IV
23275146;4.99;137;Nível IV
23275154;4.65;149;Nível IV
23277238;4.69;107;Nível IV
23277246;4.64;109;Nível IV
23277408;4.71;107;Nível IV
23277564;4.71;110;Nível IV
23277572;4.5;136;Nível III
23279109;4.54;76;Nível IV
23279320;4.59;109;Nível IV
23279621;4.42;102;Nível III
23280689;4.64;113;Nível IV
23280697;4.6;142;Nível IV
23280700;4.51;223;Nível IV
23302615;4.41;158;Nível III
23304812;4.59;102;Nível IV
23324244;4.9;56;Nível IV
23324252;4.45;140;Nível III
23324260;4.57;93;Nível IV
23324279;4.51;294;Nível IV
23325216;4.56;157;Nível IV
23325224;4.57;201;Nível IV
23331615;4.65;122;Nível IV
23529989;4.85;74;Nível IV
23546018;4.65;83;Nível IV
23546026;4.7;173;Nível IV
23546999;4.57;87;Nível IV
23547987;4.55;254;Nível IV
23547995;4.49;199;Nível III
