ID_ESCOLA;SPAECE_PORT_2023;SPAECE_MAT_2023;SPAECE_MEDIA_2023
23064927;253.699118941714;241.077136369488;247.388127655601
23065028;253.454972964691;244.630205494118;249.04258922940448
23065125;256.575334153941;241.503275648352;249.03930490114652
23065192;260.595061408019;241.904150430104;251.24960591906148
23065265;260.432296051134;249.660029346857;255.0461626989955
23065346;286.562251570543;272.003615636406;279.2829336034745
23065621;278.016054494446;267.89939748215;272.95772598829797
23065834;247.055988095646;236.992747317298;242.024367706472
23065958;268.022449987813;239.990964539963;254.006707263888
23067390;252.24096030239;234.254659510651;243.2478099065205
23067543;254.896180814184;231.735240631345;243.3157107227645
23067691;243.319882116139;229.982460850006;236.65117148307252
23067829;241.046702673846;234.262915038285;237.6548088560655
23067977;255.184058825165;236.220805554392;245.7024321897785
23068167;262.214361622967;241.592658258298;251.9035099406325
23068892;262.40370203637;246.538328292152;254.47101516426102
23069015;279.700139367476;265.452572292857;272.5763558301665
23069317;267.807818427418;250.29972651856;259.053772472989
23069350;275.414489662826;239.223204138254;257.31884690054
23069945;249.990881690816;236.724634480554;243.357758085685
23069953;268.735005983995;260.63551812991;264.6852620569525
23070021;261.050720749146;240.673876624246;250.86229868669602
23070137;255.344050583993;234.810467595422;245.07725908970752
23070188;281.43584723084;263.593714794275;272.5147810125575
23070250;271.627759728499;266.844272980556;269.23601635452746
23070846;264.473411409417;247.820832461796;256.1471219356065
23070870;276.156485160953;249.826223384891;262.991354272922
23070960;243.668528981137;234.777953349805;239.223241165471
23071168;255.777718495417;244.391621759695;250.084670127556
23071427;250.364041385215;234.850950809812;242.6074960975135
23071435;260.607727576551;245.162572578275;252.885150077413
23071850;240.625258864345;228.798054386092;234.7116566252185
23072180;257.283681261187;247.0175328861;252.1506070736435
23072202;236.285939669601;230.254444485841;233.270192077721
23072229;246.900818759104;232.18019794467;239.540508351887
23072245;258.333892252577;238.751641031774;248.5427666421755
23072270;263.26933474563;243.126687872774;253.198011309202
23072504;255.259163065041;242.243446618931;248.75130484198598
23072512;265.419537464185;255.287141443455;260.35333945382
23072520;254.036339679627;244.29981658663;249.1680781331285
23072911;278.823184104409;260.686753485942;269.7549687951755
23073080;253.432404858333;241.768642470836;247.6005236645845
23073144;250.212210484244;235.18626943384;242.69923995904202
23073543;264.616163741923;238.798072373934;251.70711805792848
23073608;241.51620034737;232.855728381327;237.18596436434848
23073667;238.148610880564;228.17159429891;233.160102589737
23073748;266.222133431097;248.793280231977;257.507706831537
23073764;259.497686454412;244.164577296622;251.83113187551703
23073772;239.113728253807;229.471854644894;234.2927914493505
23073870;246.52154085039;229.772767994402;238.147154422396
23073934;267.246201269432;250.647579444261;258.9468903568465
23074078;269.72893206219;248.701983486369;259.21545777427946
23074086;251.627099952887;239.136404769831;245.381752361359
23074124;263.117177135452;242.198170204508;252.65767366998
23074140;270.015708983125;252.130171444573;261.072940213849
23074876;256.793281693938;238.7195509023;247.756416298119
23075074;269.901349117258;249.139870187478;259.520609652368
23075120;251.229758629646;236.826696533949;244.0282275817975
23075155;247.569800408194;234.832333743449;241.2010670758215
23076720;236.427899186712;224.669134269969;230.5485167283405
23077131;235.30777667518;226.998454487512;231.15311558134601
23077450;260.634465996917;240.487203240256;250.5608346185865
23077468;258.852571269709;252.003667861558;255.4281195656335
23077794;249.395488575477;234.433027255776;241.9142579156265
23078006;256.136045035581;238.363346927822;247.2496959817015
23078030;252.69334654075;233.465177954369;243.0792622475595
23078413;244.879591369379;227.014159765883;235.946875567631
23078553;252.618336185939;241.006733746007;246.812534965973
23078596;247.374013512162;232.298155496593;239.8360845043775
23078600;222.407968965242;223.130858990212;222.769413977727
23078626;267.729792572468;250.255080927337;258.9924367499025
23078740;285.870501023724;266.570494650041;276.2204978368825
23078766;231.650091841471;228.076335386695;229.863213614083
23080124;241.492481529023;232.840925966762;237.16670374789248
23184558;247.283041368918;227.266868429338;237.27495489912798
23184779;255.489226950123;240.200590335819;247.844908642971
23184914;238.11547005876;226.962797345886;232.539133702323
23186160;254.344074761404;243.205649402083;248.7748620817435
23187778;262.43332542925;244.207925690617;253.3206255599335
23198818;244.149264478053;234.618842792177;239.38405363511498
23212543;228.414260199597;222.220105304893;225.317182752245
23213140;255.432177725976;243.50303884718;249.467608286578
23214899;227.885514592224;238.551013515492;233.218264053858
23215267;260.827562221229;242.548455499926;251.6880088605775
23233842;251.792562042169;235.925626062076;243.8590940521225
23234067;279.822253515022;263.545034956196;271.683644235609
23234318;267.998067980956;246.004047223578;257.001057602267
23242469;257.406273847209;239.382056074866;248.3941649610375
23244305;252.271353282268;232.48602851319;242.378690897729
23250631;254.491059156292;239.497857453939;246.9944583051155
23255641;259.555421636896;242.985242306419;251.27033197165753
23255668;257.731375857942;240.18100421089;248.956190034416
23255889;258.31830555969;235.996077569516;247.15719156460298
23256060;251.079278740152;241.540232371732;246.309755555942
23256761;229.133940774584;221.11683321219;225.125386993387
23257059;249.388761422384;234.978671558069;242.18371649022652
23257369;260.85436838254;242.566643847143;251.7105061148415
23259418;263.009152966487;244.349839567019;253.679496266753
23259540;262.82817487231;258.388730416969;260.6084526446395
23259558;276.522614319995;259.701486348025;268.11205033401
23262613;274.560298618664;260.053619999014;267.306959308839
23263130;255.898205366792;246.050746409329;250.9744758880605
23263318;264.786102468575;240.267842595549;252.52697253206202
23264187;246.732095265143;227.571146176105;237.151620720624
23264209;265.112461937907;248.644158968832;256.8783104533695
23264780;286.907759654013;274.023125047683;280.465442350848
23264799;288.140420234841;282.705003073987;285.422711654414
23269170;259.590549286102;247.951424799145;253.7709870426235
23270675;260.960381533566;236.568466693874;248.76442411372
23271493;272.000642534377;259.904443727977;265.952543131177
23272007;274.08410436607;257.015059307083;265.5495818365765
23272694;240.678922887928;225.897176197576;233.288049542752
23272708;280.850178290404;273.29804271128;277.07411050084204
23272724;258.34524837271;241.155156540193;249.7502024564515
23273747;270.762399206825;258.913855836626;264.8381275217255
23273755;270.064272314968;251.896870744517;260.9805715297425
23273763;246.140561845418;232.80432812475;239.472444985084
23274034;269.530231080065;251.185096874726;260.35766397739553
23274930;277.482695618995;265.847530014469;271.665112816732
23275006;294.787734261707;272.336942127041;283.562338194374
23275146;285.81757521481;265.897328773105;275.8574519939575
23275154;264.75631121952;248.220539942861;256.4884255811905
23277238;294.51503256327;306.687346104676;300.601189333973
23277246;269.216351293469;251.563284056811;260.38981767514
23277408;255.558507320268;242.365680121259;248.9620937207635
23277564;265.846992356762;247.633639674946;256.740316015854
23277572;257.620952529524;240.339959160492;248.980455845008
23279109;247.504283306059;234.35408048854;240.9291818972995
23279320;256.350796099486;236.132103565786;246.241449832636
23279621;247.906168797601;235.267343899213;241.586756348407
23280689;281.253496011223;255.434696765048;268.3440963881355
23280697;264.219268048481;234.983970516662;249.6016192825715
23280700;265.332115747525;246.66385150801;255.9979836277675
23302615;248.095242751096;233.292874857613;240.69405880435448
23324279;260.965123761834;239.325139468137;250.14513161498547
23325216;258.685730056708;246.813699557117;252.7497148069125
23325224;268.734449099874;248.444062843974;258.589255971924
23331615;289.189857606508;278.07225068454;283.631054145524
23529989;284.013294559646;264.059396080623;274.0363453201345
23547987;270.158405451078;247.987961613893;259.0731835324855
23547995;261.538979636022;249.276365564611;255.40767260031652
